experiment_id,campaign_partition,source_healthy_trace_id,assigned_source_partition,included_in_strict_source_disjoint_subset
95,train,563,attack,False
96,train,55,validation,False
97,train,812,attack,False
98,validation,519,attack,False
99,attack,655,validation,False
100,attack,160,train,False
101,train,347,train,True
102,train,570,train,True
103,train,55,validation,False
104,train,640,train,True
105,validation,308,test,False
106,attack,74,attack,True
107,validation,831,train,False
108,train,777,train,True
109,test,634,train,False
110,attack,308,test,False
111,train,533,train,True
112,train,214,attack,False
113,test,187,validation,False
114,train,760,attack,False
115,validation,811,train,False
116,train,908,test,False
117,test,91,test,True
118,validation,306,validation,True
119,train,99,train,True
120,train,423,train,True
121,train,202,train,True
122,train,551,attack,False
123,attack,644,validation,False
124,train,339,train,True
125,attack,415,attack,True
126,train,296,validation,False
127,attack,611,test,False
128,train,681,train,True
129,train,771,attack,False
130,train,451,attack,False
131,attack,1004,test,False
132,attack,793,attack,True
133,train,852,train,True
134,train,443,validation,False
135,attack,384,validation,False
136,train,144,train,True
137,train,181,train,True
138,train,272,train,True
139,test,216,test,True
140,train,636,validation,False
141,attack,27,attack,True
142,train,521,train,True
143,attack,493,train,False
144,train,199,validation,False
145,attack,236,attack,True
146,train,712,train,True
147,test,104,attack,False
148,validation,338,attack,False
149,validation,866,attack,False
150,test,585,train,False
151,train,911,train,True
152,test,193,test,True
153,test,214,attack,False
154,train,789,test,False
155,test,964,validation,False
156,train,202,train,True
157,train,929,train,True
158,attack,489,train,False
159,test,696,train,False
160,train,785,attack,False
161,test,632,train,False
162,test,579,train,False
163,train,537,train,True
164,train,99,train,True
165,test,489,train,False
166,train,218,attack,False
167,train,358,attack,False
168,train,239,attack,False
169,validation,938,train,False
170,validation,54,attack,False
171,test,887,validation,False
172,validation,375,attack,False
173,train,994,train,True
174,attack,1013,validation,False
175,train,759,validation,False
176,attack,389,train,False
177,train,906,train,True
178,validation,692,train,False
179,train,504,validation,False
180,attack,1017,attack,True
181,attack,885,validation,False
182,test,51,train,False
183,test,833,train,False
184,train,572,attack,False
185,train,127,attack,False
186,attack,730,attack,True
187,attack,515,train,False
188,train,243,attack,False
189,attack,716,attack,True
190,validation,856,validation,True
191,test,751,validation,False
192,train,592,train,True
193,test,340,attack,False
194,validation,13,attack,False
195,attack,419,train,False
196,test,315,train,False
197,train,623,train,True
198,train,569,train,True
199,attack,903,attack,True
200,train,200,test,False
201,train,9,attack,False
202,attack,921,train,False
203,train,477,attack,False
204,attack,238,train,False
205,train,937,train,True
206,train,275,train,True
207,test,626,attack,False
208,attack,665,attack,True
209,train,212,attack,False
210,validation,355,validation,True
211,train,204,train,True
212,attack,9,attack,True
213,train,363,train,True
214,test,138,validation,False
215,train,599,train,True
216,test,176,train,False
217,attack,671,validation,False
218,attack,951,attack,True
219,validation,242,train,False
220,train,197,attack,False
221,validation,961,attack,False
222,attack,228,test,False
223,train,50,train,True
224,train,920,attack,False
225,test,643,train,False
226,train,927,train,True
227,train,378,attack,False
228,test,556,attack,False
229,validation,576,train,False
230,attack,517,train,False
231,attack,191,train,False
232,train,534,attack,False
233,train,41,attack,False
234,train,140,test,False
235,train,116,train,True
236,test,557,train,False
237,train,637,attack,False
238,train,88,validation,False
239,train,172,train,True
240,validation,859,validation,True
241,validation,411,attack,False
242,attack,256,train,False
243,train,359,train,True
244,train,564,train,True
245,attack,415,attack,True
246,train,603,train,True
247,train,1008,train,True
248,test,332,attack,False
249,validation,963,validation,True
250,train,930,train,True
251,attack,131,train,False
252,attack,881,attack,True
253,validation,1012,train,False
254,validation,710,train,False
255,validation,634,train,False
256,attack,637,attack,True
257,train,911,train,True
258,attack,113,train,False
259,train,638,attack,False
260,train,345,attack,False
261,test,367,attack,False
262,attack,26,validation,False
263,train,1015,train,True
264,train,318,validation,False
265,train,266,test,False
266,train,933,attack,False
267,attack,830,attack,True
268,validation,501,test,False
269,train,483,attack,False
270,test,369,train,False
271,test,670,train,False
272,attack,996,train,False
273,validation,229,train,False
274,test,313,train,False
275,train,385,attack,False
276,attack,984,attack,True
277,train,155,train,True
278,train,370,attack,False
279,train,105,train,True
280,attack,840,validation,False
281,train,496,test,False
282,train,326,validation,False
283,train,615,train,True
284,train,193,test,False
285,train,950,test,False
286,train,444,test,False
287,validation,23,train,False
288,attack,862,test,False
289,attack,781,train,False
290,train,990,test,False
291,train,104,attack,False
292,train,580,attack,False
293,validation,138,validation,True
294,train,943,test,False
295,train,87,test,False
296,train,670,train,True
297,train,176,train,True
298,train,911,train,True
299,train,634,train,True
300,attack,157,attack,True
301,attack,344,attack,True
302,attack,885,validation,False
303,validation,827,attack,False
304,train,805,validation,False
305,train,793,attack,False
306,attack,611,test,False
307,train,3,validation,False
308,attack,699,train,False
309,train,821,validation,False
310,test,730,attack,False
311,train,942,test,False
312,attack,896,train,False
313,attack,270,test,False
314,train,1015,train,True
315,train,758,train,True
316,train,957,validation,False
317,train,120,attack,False
318,test,251,attack,False
319,train,528,attack,False
320,validation,38,attack,False
321,validation,235,validation,True
322,test,270,test,True
323,test,211,attack,False
324,validation,301,train,False
325,attack,592,train,False
326,train,399,validation,False
327,train,5,train,True
328,train,382,validation,False
329,attack,261,attack,True
330,train,106,train,True
331,validation,950,test,False
332,train,412,attack,False
333,train,188,train,True
334,train,699,train,True
335,validation,347,train,False
336,validation,986,attack,False
337,validation,963,validation,True
338,train,728,test,False
339,train,75,validation,False
340,train,476,attack,False
341,validation,297,train,False
342,test,769,attack,False
343,attack,801,test,False
344,test,969,train,False
345,train,617,train,True
346,test,196,train,False
347,validation,528,attack,False
348,test,350,train,False
349,attack,536,validation,False
350,attack,235,validation,False
351,attack,272,train,False
352,validation,331,attack,False
353,attack,177,train,False
354,train,712,train,True
355,attack,448,test,False
356,validation,807,test,False
357,train,382,validation,False
358,train,220,validation,False
359,train,551,attack,False
360,train,566,train,True
361,attack,1,train,False
362,attack,1017,attack,True
363,train,384,validation,False
364,train,770,validation,False
365,validation,898,train,False
366,train,843,train,True
367,test,823,attack,False
368,train,503,train,True
369,train,478,train,True
370,train,769,attack,False
371,validation,732,attack,False
372,train,305,train,True
373,attack,618,attack,True
374,attack,729,train,False
375,train,684,validation,False
376,attack,629,train,False
377,train,708,train,True
378,train,941,attack,False
379,train,843,train,True
380,train,655,validation,False
381,validation,903,attack,False
382,test,381,test,True
383,validation,286,train,False
384,train,476,attack,False
385,validation,164,test,False
386,train,572,attack,False
387,attack,500,attack,True
388,attack,144,train,False
389,train,1017,attack,False
390,train,991,train,True
391,attack,649,attack,True
392,attack,724,train,False
393,train,87,test,False
394,train,585,train,True
395,train,445,train,True
396,train,617,train,True
397,train,89,train,True
398,attack,488,train,False
399,attack,525,validation,False
400,validation,730,attack,False
401,attack,854,validation,False
402,validation,49,validation,True
403,train,476,attack,False
404,attack,819,attack,True
405,attack,663,validation,False
406,validation,158,train,False
407,attack,846,attack,True
408,attack,418,train,False
409,attack,659,train,False
410,train,75,validation,False
411,train,316,attack,False
412,attack,619,attack,True
413,train,841,train,True
414,attack,216,test,False
415,attack,847,train,False
416,test,489,train,False
417,validation,2,attack,False
418,train,996,train,True
419,train,494,attack,False
420,test,1020,train,False
421,train,295,train,True
422,test,573,train,False
423,train,621,test,False
424,train,423,train,True
425,test,290,test,True
426,test,856,validation,False
427,test,421,train,False
428,train,300,validation,False
429,attack,331,attack,True
430,train,597,train,True
431,train,156,attack,False
432,train,731,train,True
433,attack,234,train,False
434,train,587,attack,False
435,attack,435,validation,False
436,attack,929,train,False
437,validation,256,train,False
438,train,649,attack,False
439,train,606,validation,False
440,attack,520,train,False
441,train,786,attack,False
442,train,266,test,False
443,train,773,train,True
444,test,25,train,False
445,validation,388,attack,False
446,attack,492,test,False
447,train,26,validation,False
448,test,703,train,False
449,train,745,train,True
450,train,94,train,True
451,train,788,attack,False
452,train,609,train,True
453,train,269,train,True
454,test,368,train,False
455,attack,358,attack,True
456,train,159,train,True
457,validation,538,train,False
458,train,477,attack,False
459,attack,244,train,False
460,validation,866,attack,False
461,attack,876,test,False
462,attack,126,test,False
463,validation,442,train,False
464,validation,924,attack,False
465,train,398,attack,False
466,train,847,train,True
467,test,308,test,True
468,test,201,attack,False
469,train,965,train,True
470,attack,461,train,False
471,train,949,attack,False
472,train,613,train,True
473,validation,967,train,False
474,attack,492,test,False
475,train,46,test,False
476,train,906,train,True
477,train,308,test,False
478,attack,93,train,False
479,train,421,train,True
480,train,1014,train,True
481,train,636,validation,False
482,train,798,train,True
483,train,231,train,True
484,train,82,train,True
485,train,247,validation,False
486,train,969,train,True
487,validation,559,train,False
488,train,0,test,False
489,validation,336,attack,False
490,train,656,test,False
491,train,813,train,True
492,attack,870,train,False
493,train,414,validation,False
494,attack,849,attack,True
495,attack,585,train,False
496,train,803,attack,False
497,train,320,train,True
498,attack,787,attack,True
499,train,707,attack,False
500,test,180,train,False
501,train,2,attack,False
502,validation,911,train,False
503,test,431,train,False
504,train,7,train,True
505,attack,56,attack,True
506,train,848,train,True
507,validation,564,train,False
508,train,778,train,True
509,attack,857,train,False
510,attack,272,train,False
511,test,258,train,False
512,train,101,train,True
513,attack,854,validation,False
514,train,21,test,False
515,train,40,train,True
516,train,572,attack,False
517,train,137,train,True
518,validation,856,validation,True
519,train,654,validation,False
520,train,257,train,True
521,train,265,train,True
522,train,310,train,True
523,train,791,attack,False
524,train,765,train,True
525,train,779,train,True
526,test,111,train,False
527,validation,564,train,False
528,train,1014,train,True
529,attack,195,test,False
530,train,253,train,True
531,validation,16,train,False
532,attack,549,train,False
533,train,571,validation,False
534,train,310,train,True
535,train,949,attack,False
536,attack,986,attack,True
537,train,8,train,True
538,test,902,train,False
539,attack,557,train,False
540,test,319,attack,False
541,train,421,train,True
542,attack,1000,train,False
543,train,642,attack,False
544,test,236,attack,False
545,validation,198,train,False
546,train,797,test,False
547,train,242,train,True
548,train,723,train,True
549,attack,483,attack,True
550,test,927,train,False
551,train,207,attack,False
552,train,524,train,True
553,train,994,train,True
554,attack,122,train,False
555,validation,313,train,False
556,train,153,train,True
557,attack,808,train,False
558,train,514,train,True
559,train,38,attack,False
560,train,284,train,True
561,validation,941,attack,False
562,train,150,train,True
563,validation,297,train,False
564,train,1013,validation,False
565,train,784,train,True
566,train,530,test,False
567,train,539,train,True
568,train,788,attack,False
569,train,431,train,True
570,attack,967,train,False
571,attack,1005,train,False
572,train,636,validation,False
573,train,44,train,True
574,validation,878,train,False
575,train,834,train,True
576,train,424,train,True
577,train,249,validation,False
578,attack,472,attack,True
579,train,818,test,False
580,attack,368,train,False
581,train,637,attack,False
582,train,935,train,True
583,train,473,attack,False
584,train,54,attack,False
585,attack,643,train,False
586,attack,105,train,False
587,train,60,test,False
588,train,831,train,True
589,attack,245,train,False
590,attack,756,train,False
591,train,499,validation,False
592,train,972,validation,False
593,train,594,train,True
594,attack,527,attack,True
595,validation,291,validation,True
596,test,809,validation,False
597,train,341,attack,False
598,train,610,train,True
599,train,465,train,True
600,attack,292,attack,True
601,attack,871,validation,False
602,test,775,train,False
603,test,297,train,False
604,train,989,train,True
605,attack,414,validation,False
606,train,179,test,False
607,validation,68,train,False
608,train,857,train,True
609,attack,615,train,False
610,train,381,test,False
611,validation,108,train,False
612,train,769,attack,False
613,attack,251,attack,True
614,train,233,test,False
615,attack,352,train,False
616,train,288,attack,False
617,train,946,train,True
618,train,868,train,True
619,train,667,train,True
620,attack,56,attack,True
621,train,556,attack,False
622,train,516,test,False
623,validation,878,train,False
624,attack,454,test,False
625,train,188,train,True
626,train,932,validation,False
627,train,304,validation,False
628,validation,536,validation,True
629,validation,842,validation,True
630,train,288,attack,False
631,train,367,attack,False
632,train,919,train,True
633,attack,842,validation,False
634,train,297,train,True
635,train,858,train,True
636,test,71,validation,False
637,attack,900,train,False
638,attack,203,train,False
639,train,925,attack,False
640,train,898,train,True
641,test,458,attack,False
642,train,626,attack,False
643,attack,509,attack,True
644,attack,473,attack,True
645,train,801,test,False
646,test,747,train,False
647,attack,869,attack,True
648,validation,402,validation,True
649,train,419,train,True
650,train,655,validation,False
651,train,734,attack,False
652,attack,884,train,False
653,test,985,train,False
654,train,969,train,True
655,train,480,attack,False
656,train,336,attack,False
657,attack,123,test,False
658,attack,653,test,False
659,train,252,attack,False
660,train,400,train,True
661,train,280,attack,False
662,train,602,train,True
663,train,185,attack,False
664,attack,801,test,False
665,train,279,train,True
666,train,800,train,True
667,train,724,train,True
668,train,330,train,True
669,attack,986,attack,True
670,train,728,test,False
671,validation,87,test,False
672,attack,46,test,False
673,validation,388,attack,False
674,train,789,test,False
675,train,29,train,True
676,test,791,attack,False
677,train,949,attack,False
678,validation,272,train,False
679,train,345,attack,False
680,test,727,attack,False
681,attack,957,validation,False
682,train,694,train,True
683,train,828,validation,False
684,test,910,test,True
685,train,674,attack,False
686,train,711,train,True
687,train,775,train,True
688,train,506,train,True
689,test,394,validation,False
690,validation,321,train,False
691,train,281,train,True
692,train,63,test,False
693,attack,676,test,False
694,test,489,train,False
695,train,166,test,False
696,test,958,train,False
697,attack,399,validation,False
698,validation,677,train,False
699,validation,18,train,False
700,test,282,train,False
701,train,725,test,False
702,attack,950,test,False
703,attack,637,attack,True
704,validation,388,attack,False
705,attack,230,attack,True
706,validation,794,train,False
707,attack,844,train,False
708,train,696,train,True
709,train,586,train,True
710,test,399,validation,False
711,validation,391,attack,False
712,train,981,attack,False
713,validation,526,test,False
714,train,202,train,True
715,validation,11,train,False
716,train,347,train,True
717,attack,779,train,False
718,validation,374,train,False
719,train,91,test,False
720,train,1019,validation,False
721,train,122,train,True
722,test,883,validation,False
723,train,247,validation,False
724,attack,1020,train,False
725,test,450,train,False
726,attack,555,validation,False
727,train,614,attack,False
728,attack,943,test,False
729,train,601,train,True
730,attack,755,train,False
731,validation,491,train,False
732,train,647,train,True
733,test,155,train,False
734,train,65,train,True
735,attack,845,train,False
736,train,622,train,True
737,train,940,train,True
738,train,979,train,True
739,attack,202,train,False
740,attack,508,train,False
741,train,389,train,True
742,attack,237,train,False
743,train,29,train,True
744,train,120,attack,False
745,train,50,train,True
746,train,441,train,True
747,train,894,train,True
748,train,818,test,False
749,train,968,train,True
750,attack,620,attack,True
751,validation,251,attack,False
752,test,762,train,False
753,train,474,train,True
754,train,666,train,True
755,train,372,train,True
756,train,817,attack,False
757,test,535,attack,False
758,validation,402,validation,True
759,train,896,train,True
760,test,479,test,True
761,train,30,train,True
762,attack,810,train,False
763,train,559,train,True
764,attack,601,train,False
765,attack,442,train,False
766,test,375,attack,False
767,validation,133,train,False
768,train,452,train,True
769,test,230,attack,False
770,test,168,train,False
771,attack,22,train,False
772,validation,162,train,False
773,train,594,train,True
774,attack,829,train,False
775,train,743,train,True
776,attack,438,train,False
777,train,352,train,True
778,attack,52,train,False
779,attack,411,attack,True
780,validation,25,train,False
781,validation,880,validation,True
782,train,513,attack,False
783,attack,86,validation,False
784,attack,993,train,False
785,train,891,train,True
786,train,99,train,True
787,validation,662,attack,False
788,test,603,train,False
789,validation,77,test,False
790,attack,454,test,False
791,train,20,train,True
792,train,361,train,True
793,test,690,train,False
794,train,323,train,True
795,attack,280,attack,True
796,train,592,train,True
797,train,160,train,True
798,train,120,attack,False
799,attack,423,train,False
800,attack,932,validation,False
801,validation,967,train,False
802,test,381,test,True
803,test,824,train,False
804,attack,501,test,False
805,validation,6,attack,False
806,validation,89,train,False
807,train,32,test,False
808,validation,812,attack,False
809,validation,741,train,False
810,train,475,train,True
811,train,415,attack,False
812,train,955,train,True
813,train,97,attack,False
814,train,558,train,True
815,train,22,train,True
816,attack,566,train,False
817,train,752,train,True
818,test,925,attack,False
819,train,638,attack,False
820,validation,907,attack,False
821,test,580,attack,False
822,validation,672,train,False
823,validation,984,attack,False
824,train,411,attack,False
825,train,514,train,True
826,train,279,train,True
827,test,789,test,True
828,train,721,train,True
829,attack,234,train,False
830,test,121,train,False
831,attack,559,train,False
832,train,585,train,True
833,train,969,train,True
834,validation,251,attack,False
835,train,588,attack,False
836,train,1004,test,False
837,train,969,train,True
838,train,514,train,True
839,attack,552,train,False
840,validation,64,attack,False
841,attack,625,train,False
842,attack,882,validation,False
843,train,859,validation,False
844,train,351,test,False
845,train,810,train,True
846,attack,643,train,False
847,train,375,attack,False
848,test,672,train,False
849,validation,907,attack,False
850,attack,663,validation,False
851,train,40,train,True
852,train,705,attack,False
853,train,332,attack,False
854,train,1018,test,False
855,train,74,attack,False
856,train,251,attack,False
857,train,364,train,True
858,attack,950,test,False
859,attack,98,validation,False
860,attack,323,train,False
861,attack,292,attack,True
862,validation,551,attack,False
863,test,609,train,False
864,train,769,attack,False
865,attack,399,validation,False
866,train,817,attack,False
867,train,766,train,True
868,train,923,train,True
869,train,476,attack,False
870,test,955,train,False
871,train,310,train,True
872,train,917,validation,False
873,attack,477,attack,True
874,validation,107,train,False
875,train,689,train,True
876,attack,561,train,False
877,train,396,train,True
878,test,451,attack,False
879,validation,485,attack,False
880,test,493,train,False
881,test,533,train,False
882,validation,437,train,False
883,validation,60,test,False
884,validation,548,validation,True
885,train,327,test,False
886,train,723,train,True
887,train,859,validation,False
888,test,779,train,False
889,attack,949,attack,True
890,train,504,validation,False
891,train,349,attack,False
892,test,495,train,False
893,validation,175,attack,False
894,test,567,attack,False
895,attack,431,train,False
896,train,608,train,True
897,train,1017,attack,False
898,validation,197,attack,False
899,train,74,attack,False
900,validation,170,train,False
901,attack,814,train,False
902,train,492,test,False
903,train,547,validation,False
904,train,766,train,True
905,train,444,test,False
906,train,884,train,True
907,attack,1002,validation,False
908,train,621,test,False
909,attack,512,test,False
910,attack,1001,train,False
911,attack,944,test,False
912,train,436,validation,False
913,train,998,train,True
914,validation,159,train,False
915,test,937,train,False
916,train,501,test,False
917,attack,91,test,False
918,validation,983,attack,False
919,attack,765,train,False
920,train,617,train,True
921,test,906,train,False
922,train,861,train,True
923,train,251,attack,False
924,train,611,test,False
925,attack,373,train,False
926,train,973,train,True
927,attack,263,validation,False
928,attack,681,train,False
929,validation,493,train,False
930,test,985,train,False
931,train,386,train,True
932,train,69,train,True
933,train,1015,train,True
934,train,647,train,True
935,train,51,train,True
936,train,916,validation,False
937,train,90,attack,False
938,test,995,train,False
939,test,37,train,False
940,attack,658,attack,True
941,train,371,attack,False
942,test,979,train,False
943,train,906,train,True
944,attack,568,train,False
945,train,916,validation,False
946,validation,903,attack,False
947,train,798,train,True
948,train,390,attack,False
949,validation,286,train,False
950,attack,828,validation,False
951,train,563,attack,False
952,attack,762,train,False
953,attack,26,validation,False
954,train,502,train,True
955,attack,503,train,False
956,attack,230,attack,True
957,train,681,train,True
958,train,280,attack,False
959,attack,404,attack,True
960,train,633,test,False
961,train,966,attack,False
962,attack,309,attack,True
963,train,815,train,True
964,train,80,attack,False
965,train,59,train,True
966,train,912,attack,False
967,attack,463,train,False
968,train,117,test,False
969,train,383,attack,False
970,train,765,train,True
971,test,358,attack,False
972,test,261,attack,False
973,validation,968,train,False
974,train,317,validation,False
975,train,822,validation,False
976,train,208,train,True
977,train,207,attack,False
978,train,18,train,True
979,attack,929,train,False
980,train,1009,validation,False
981,train,121,train,True
982,test,273,train,False
983,attack,153,train,False
984,train,761,train,True
985,train,428,validation,False
986,train,521,train,True
987,attack,329,test,False
988,train,680,train,True
989,train,977,test,False
990,attack,282,train,False
991,train,653,test,False
992,test,413,train,False
993,train,629,train,True
994,train,450,train,True
995,attack,434,attack,True
996,attack,575,attack,True
997,train,203,train,True
998,attack,869,attack,True
999,train,846,attack,False
1000,attack,853,train,False
1001,test,352,train,False
1002,train,753,test,False
1003,attack,742,train,False
1004,attack,915,train,False
1005,train,341,attack,False
1006,validation,202,train,False
1007,train,11,train,True
1008,train,862,test,False
1009,train,330,train,True
1010,attack,673,test,False
1011,train,396,train,True
1012,test,646,train,False
1013,attack,728,test,False
1014,train,85,train,True
1015,validation,654,validation,True
1016,train,839,train,True
1017,test,751,validation,False
1018,test,210,train,False
1019,attack,476,attack,True
1020,attack,446,train,False
1021,train,353,train,True
1022,test,323,train,False
1023,attack,693,validation,False
1024,train,206,test,False
1025,train,397,train,True
1026,attack,712,train,False
1027,attack,730,attack,True
1028,test,711,train,False
1029,attack,990,test,False
1030,validation,796,attack,False
1031,attack,655,validation,False
1032,train,493,train,True
1033,validation,552,train,False
1034,train,660,attack,False
1035,attack,1000,train,False
1036,train,838,train,True
1037,attack,599,train,False
1038,attack,399,validation,False
1039,attack,171,test,False
1040,attack,858,train,False
1041,attack,803,attack,True
1042,attack,262,train,False
1043,train,208,train,True
1044,train,413,train,True
1045,attack,552,train,False
1046,train,410,train,True
1047,train,451,attack,False
1048,train,207,attack,False
1049,test,380,attack,False
1050,train,102,train,True
1051,attack,127,attack,True
1052,train,184,train,True
1053,attack,815,train,False
1054,test,575,attack,False
1055,train,570,train,True
1056,train,624,attack,False
1057,train,163,attack,False
1058,train,14,train,True
1059,test,170,train,False
1060,train,323,train,True
1061,train,285,train,True
1062,train,443,validation,False
1063,attack,811,train,False
1064,validation,763,test,False
1065,attack,286,train,False
1066,attack,134,train,False
1067,train,24,validation,False
1068,train,680,train,True
1069,test,418,train,False
1070,attack,635,attack,True
1071,train,313,train,True
1072,attack,684,validation,False
1073,attack,482,train,False
1074,attack,310,train,False
1075,train,513,attack,False
1076,test,517,train,False
1077,train,157,attack,False
1078,test,1021,train,False
1079,test,407,train,False
1080,attack,314,validation,False
1081,train,520,train,True
1082,attack,152,train,False
1083,train,757,train,True
1084,attack,104,attack,True
1085,train,543,train,True
1086,test,6,attack,False
1087,train,511,attack,False
1088,train,902,train,True
1089,validation,268,train,False
1090,train,468,validation,False
1091,test,184,train,False
1092,train,578,attack,False
1093,test,353,train,False
1094,train,460,attack,False
1095,attack,655,validation,False
1096,attack,736,attack,True
1097,test,735,train,False
1098,attack,84,train,False
1099,attack,404,attack,True
1100,attack,503,train,False
1101,test,704,train,False
1102,attack,1013,validation,False
1103,train,778,train,True
1104,test,792,test,True
1105,attack,327,test,False
1106,test,757,train,False
1107,test,326,validation,False
1108,attack,175,attack,True
1109,attack,842,validation,False
1110,train,646,train,True
1111,attack,463,train,False
1112,attack,132,train,False
1113,attack,370,attack,True
1114,train,709,train,True
1115,validation,271,validation,True
1116,train,139,test,False
1117,attack,247,validation,False
1118,train,706,train,True
1119,train,184,train,True
1120,attack,781,train,False
1121,train,893,test,False
1122,test,48,attack,False
1123,train,308,test,False
1124,train,196,train,True
1125,train,913,train,True
1126,test,809,validation,False
1127,train,163,attack,False
1128,test,575,attack,False
1129,validation,804,train,False
1130,train,454,test,False
1131,attack,377,train,False
1132,train,574,train,True
1133,validation,972,validation,True
1134,train,743,train,True
1135,train,837,train,True
1136,train,146,train,True
1137,attack,333,test,False
1138,train,23,train,True
1139,train,1021,train,True
1140,test,947,train,False
1141,test,693,validation,False
1142,attack,762,train,False
1143,train,738,validation,False
1144,attack,590,train,False
1145,train,257,train,True
1146,validation,318,validation,True
1147,test,429,attack,False
1148,train,476,attack,False
1149,attack,203,train,False
1150,train,936,train,True
1151,train,276,train,True
1152,validation,139,test,False
1153,validation,985,train,False
1154,train,447,attack,False
1155,validation,251,attack,False
1156,train,562,train,True
1157,train,585,train,True
1158,attack,71,validation,False
1159,test,668,train,False
1160,train,143,train,True
1161,test,606,validation,False
1162,attack,1017,attack,True
1163,test,572,attack,False
1164,train,325,attack,False
1165,train,639,train,True
1166,train,124,validation,False
1167,attack,61,attack,True
1168,train,445,train,True
1169,test,769,attack,False
1170,test,568,train,False
1171,validation,660,attack,False
1172,train,94,train,True
1173,train,780,validation,False
1174,train,412,attack,False
1175,train,78,train,True
1176,train,185,attack,False
1177,train,604,train,True
1178,attack,261,attack,True
1179,train,346,train,True
1180,attack,27,attack,True
1181,attack,770,validation,False
1182,validation,1016,train,False
1183,attack,47,validation,False
1184,train,626,attack,False
1185,train,270,test,False
1186,train,998,train,True
1187,test,197,attack,False
1188,test,405,train,False
1189,train,0,test,False
1190,train,415,attack,False
1191,validation,991,train,False
1192,train,715,attack,False
1193,attack,139,test,False
1194,attack,549,train,False
1195,train,788,attack,False
1196,train,834,train,True
1197,attack,251,attack,True
1198,train,507,attack,False
1199,validation,670,train,False
1200,train,449,validation,False
1201,train,378,attack,False
1202,validation,968,train,False
1203,train,313,train,True
1204,train,1020,train,True
1205,train,118,train,True
1206,validation,347,train,False
1207,train,445,train,True
1208,train,999,test,False
1209,validation,356,train,False
1210,train,892,train,True
1211,validation,465,train,False
1212,attack,797,test,False
1213,train,325,attack,False
1214,attack,264,validation,False
1215,validation,740,train,False
1216,attack,831,train,False
1217,attack,817,attack,True
1218,train,604,train,True
1219,test,1023,train,False
1220,train,304,validation,False
1221,train,154,train,True
1222,train,513,attack,False
1223,attack,248,attack,True
1224,attack,200,test,False
1225,train,583,train,True
1226,train,979,train,True
1227,train,266,test,False
1228,train,827,attack,False
1229,train,136,attack,False
1230,train,569,train,True
1231,attack,612,attack,True
1232,validation,618,attack,False
1233,train,17,attack,False
1234,test,638,attack,False
1235,test,403,test,True
1236,validation,879,validation,True
1237,test,162,train,False
1238,train,209,validation,False
1239,attack,977,test,False
1240,train,944,test,False
1241,train,521,train,True
1242,train,1005,train,True
1243,train,360,test,False
1244,train,562,train,True
1245,attack,673,test,False
1246,train,77,test,False
1247,test,496,test,True
1248,train,238,train,True
1249,train,242,train,True
1250,test,223,train,False
1251,train,749,train,True
1252,train,619,attack,False
1253,validation,559,train,False
1254,train,816,test,False
1255,train,972,validation,False
1256,attack,761,train,False
1257,train,812,attack,False
1258,train,48,attack,False
1259,train,222,attack,False
1260,train,231,train,True
1261,train,839,train,True
1262,train,249,validation,False
