experiment_id,campaign_partition,category,category_id,target_sbox,target_sbox_index,key_id,session_id,is_valid_response,is_clean_target,is_clean_target_ineffective,is_clean_target_effective,is_missed,is_off_target,is_multi_hit,is_invalid_reset,sifa_oracle_usable,sefa_oracle_usable,shfa_oracle_branch
313,attack,invalid_reset,5,S0,0,23,3,0,0,0,0,0,0,0,1,0,0,0
325,attack,invalid_reset,5,S0,0,23,0,0,0,0,0,0,0,0,1,0,0,0
329,attack,multi_hit,4,S0,0,23,5,1,0,0,0,0,0,1,0,0,0,0
343,attack,multi_hit,4,S5,5,22,1,1,0,0,0,0,0,1,0,0,0,0
349,attack,off_target,3,S5,5,22,2,1,0,0,0,0,1,0,0,0,0,0
350,attack,multi_hit,4,S5,5,22,7,1,0,0,0,0,0,1,0,0,0,0
351,attack,off_target,3,S5,5,22,2,1,0,0,0,0,1,0,0,0,0,0
353,attack,off_target,3,S5,5,23,3,1,0,0,0,0,1,0,0,0,0,0
355,attack,multi_hit,4,S5,5,23,5,1,0,0,0,0,0,1,0,0,0,0
361,attack,off_target,3,S5,5,23,0,1,0,0,0,0,1,0,0,0,0,0
362,attack,clean_target_effective,2,S0,0,22,0,1,1,0,1,0,0,0,0,0,1,2
373,attack,clean_target_effective,2,S0,0,22,1,1,1,0,1,0,0,0,0,0,1,2
374,attack,off_target,3,S0,0,22,7,1,0,0,0,0,1,0,0,0,0,0
376,attack,clean_target_effective,2,S0,0,22,6,1,1,0,1,0,0,0,0,0,1,2
387,attack,off_target,3,S5,5,22,1,1,0,0,0,0,1,0,0,0,0,0
388,attack,missed,0,S5,5,22,5,1,0,0,0,1,0,0,0,0,0,0
391,attack,clean_target_effective,2,S5,5,22,2,1,1,0,1,0,0,0,0,0,1,2
392,attack,multi_hit,4,S5,5,23,7,1,0,0,0,0,0,1,0,0,0,0
398,attack,missed,0,S0,0,22,5,1,0,0,0,1,0,0,0,0,0,0
399,attack,clean_target_ineffective,1,S5,5,23,5,1,1,1,0,0,0,0,0,1,0,1
401,attack,multi_hit,4,S5,5,22,5,1,0,0,0,0,0,1,0,0,0,0
404,attack,clean_target_effective,2,S5,5,22,6,1,1,0,1,0,0,0,0,0,1,2
405,attack,invalid_reset,5,S0,0,22,5,0,0,0,0,0,0,0,1,0,0,0
407,attack,clean_target_effective,2,S5,5,22,0,1,1,0,1,0,0,0,0,0,1,2
408,attack,off_target,3,S0,0,23,3,1,0,0,0,0,1,0,0,0,0,0
409,attack,clean_target_ineffective,1,S5,5,23,1,1,1,1,0,0,0,0,0,1,0,1
412,attack,clean_target_effective,2,S0,0,22,5,1,1,0,1,0,0,0,0,0,1,2
414,attack,clean_target_ineffective,1,S5,5,22,3,1,1,1,0,0,0,0,0,1,0,1
415,attack,clean_target_ineffective,1,S5,5,23,3,1,1,1,0,0,0,0,0,1,0,1
429,attack,multi_hit,4,S5,5,23,4,1,0,0,0,0,0,1,0,0,0,0
433,attack,off_target,3,S5,5,23,1,1,0,0,0,0,1,0,0,0,0,0
435,attack,clean_target_effective,2,S5,5,22,5,1,1,0,1,0,0,0,0,0,1,2
436,attack,multi_hit,4,S5,5,22,4,1,0,0,0,0,0,1,0,0,0,0
440,attack,missed,0,S5,5,23,1,1,0,0,0,1,0,0,0,0,0,0
446,attack,off_target,3,S0,0,23,2,1,0,0,0,0,1,0,0,0,0,0
455,attack,off_target,3,S5,5,22,2,1,0,0,0,0,1,0,0,0,0,0
459,attack,clean_target_effective,2,S5,5,22,1,1,1,0,1,0,0,0,0,0,1,2
461,attack,missed,0,S0,0,23,5,1,0,0,0,1,0,0,0,0,0,0
462,attack,clean_target_ineffective,1,S5,5,23,1,1,1,1,0,0,0,0,0,1,0,1
470,attack,off_target,3,S5,5,22,0,1,0,0,0,0,1,0,0,0,0,0
474,attack,multi_hit,4,S0,0,22,3,1,0,0,0,0,0,1,0,0,0,0
478,attack,off_target,3,S0,0,23,1,1,0,0,0,0,1,0,0,0,0,0
492,attack,clean_target_effective,2,S5,5,23,2,1,1,0,1,0,0,0,0,0,1,2
494,attack,missed,0,S0,0,22,5,1,0,0,0,1,0,0,0,0,0,0
495,attack,multi_hit,4,S0,0,23,6,1,0,0,0,0,0,1,0,0,0,0
498,attack,clean_target_ineffective,1,S5,5,23,3,1,1,1,0,0,0,0,0,1,0,1
505,attack,missed,0,S0,0,22,3,1,0,0,0,1,0,0,0,0,0,0
509,attack,clean_target_ineffective,1,S5,5,23,4,1,1,1,0,0,0,0,0,1,0,1
510,attack,clean_target_effective,2,S5,5,23,0,1,1,0,1,0,0,0,0,0,1,2
513,attack,clean_target_effective,2,S5,5,22,4,1,1,0,1,0,0,0,0,0,1,2
529,attack,off_target,3,S5,5,23,6,1,0,0,0,0,1,0,0,0,0,0
532,attack,missed,0,S5,5,23,3,1,0,0,0,1,0,0,0,0,0,0
536,attack,off_target,3,S0,0,22,2,1,0,0,0,0,1,0,0,0,0,0
539,attack,off_target,3,S5,5,22,6,1,0,0,0,0,1,0,0,0,0,0
542,attack,invalid_reset,5,S5,5,23,0,0,0,0,0,0,0,0,1,0,0,0
549,attack,multi_hit,4,S0,0,23,3,1,0,0,0,0,0,1,0,0,0,0
554,attack,off_target,3,S0,0,22,7,1,0,0,0,0,1,0,0,0,0,0
557,attack,off_target,3,S5,5,22,7,1,0,0,0,0,1,0,0,0,0,0
570,attack,off_target,3,S5,5,22,4,1,0,0,0,0,1,0,0,0,0,0
571,attack,clean_target_effective,2,S0,0,23,4,1,1,0,1,0,0,0,0,0,1,2
578,attack,multi_hit,4,S5,5,22,5,1,0,0,0,0,0,1,0,0,0,0
580,attack,missed,0,S0,0,22,0,1,0,0,0,1,0,0,0,0,0,0
585,attack,off_target,3,S5,5,22,7,1,0,0,0,0,1,0,0,0,0,0
586,attack,off_target,3,S5,5,23,4,1,0,0,0,0,1,0,0,0,0,0
589,attack,clean_target_ineffective,1,S0,0,22,4,1,1,1,0,0,0,0,0,1,0,1
590,attack,clean_target_effective,2,S5,5,23,6,1,1,0,1,0,0,0,0,0,1,2
594,attack,clean_target_effective,2,S0,0,23,7,1,1,0,1,0,0,0,0,0,1,2
600,attack,missed,0,S0,0,23,1,1,0,0,0,1,0,0,0,0,0,0
601,attack,clean_target_effective,2,S5,5,23,0,1,1,0,1,0,0,0,0,0,1,2
605,attack,missed,0,S0,0,22,1,1,0,0,0,1,0,0,0,0,0,0
609,attack,missed,0,S0,0,23,5,1,0,0,0,1,0,0,0,0,0,0
613,attack,off_target,3,S0,0,23,5,1,0,0,0,0,1,0,0,0,0,0
615,attack,off_target,3,S5,5,23,1,1,0,0,0,0,1,0,0,0,0,0
620,attack,invalid_reset,5,S0,0,23,5,0,0,0,0,0,0,0,1,0,0,0
624,attack,off_target,3,S0,0,23,6,1,0,0,0,0,1,0,0,0,0,0
633,attack,missed,0,S0,0,23,6,1,0,0,0,1,0,0,0,0,0,0
637,attack,missed,0,S0,0,23,5,1,0,0,0,1,0,0,0,0,0,0
638,attack,clean_target_ineffective,1,S5,5,23,2,1,1,1,0,0,0,0,0,1,0,1
643,attack,missed,0,S0,0,23,5,1,0,0,0,1,0,0,0,0,0,0
644,attack,missed,0,S0,0,23,1,1,0,0,0,1,0,0,0,0,0,0
647,attack,clean_target_effective,2,S5,5,23,7,1,1,0,1,0,0,0,0,0,1,2
652,attack,missed,0,S5,5,22,2,1,0,0,0,1,0,0,0,0,0,0
657,attack,multi_hit,4,S5,5,23,1,1,0,0,0,0,0,1,0,0,0,0
658,attack,clean_target_effective,2,S0,0,23,3,1,1,0,1,0,0,0,0,0,1,2
664,attack,missed,0,S0,0,22,3,1,0,0,0,1,0,0,0,0,0,0
669,attack,invalid_reset,5,S0,0,23,0,0,0,0,0,0,0,0,1,0,0,0
672,attack,missed,0,S0,0,23,4,1,0,0,0,1,0,0,0,0,0,0
681,attack,multi_hit,4,S5,5,23,2,1,0,0,0,0,0,1,0,0,0,0
693,attack,clean_target_effective,2,S5,5,23,3,1,1,0,1,0,0,0,0,0,1,2
697,attack,off_target,3,S0,0,22,3,1,0,0,0,0,1,0,0,0,0,0
702,attack,multi_hit,4,S5,5,22,3,1,0,0,0,0,0,1,0,0,0,0
703,attack,multi_hit,4,S0,0,22,6,1,0,0,0,0,0,1,0,0,0,0
705,attack,missed,0,S0,0,23,5,1,0,0,0,1,0,0,0,0,0,0
707,attack,clean_target_effective,2,S0,0,23,3,1,1,0,1,0,0,0,0,0,1,2
717,attack,multi_hit,4,S0,0,23,2,1,0,0,0,0,0,1,0,0,0,0
724,attack,missed,0,S5,5,22,2,1,0,0,0,1,0,0,0,0,0,0
726,attack,clean_target_effective,2,S5,5,23,1,1,1,0,1,0,0,0,0,0,1,2
728,attack,clean_target_ineffective,1,S0,0,22,7,1,1,1,0,0,0,0,0,1,0,1
730,attack,off_target,3,S5,5,22,1,1,0,0,0,0,1,0,0,0,0,0
735,attack,invalid_reset,5,S0,0,22,3,0,0,0,0,0,0,0,1,0,0,0
739,attack,off_target,3,S5,5,23,3,1,0,0,0,0,1,0,0,0,0,0
740,attack,off_target,3,S5,5,23,6,1,0,0,0,0,1,0,0,0,0,0
742,attack,missed,0,S0,0,22,5,1,0,0,0,1,0,0,0,0,0,0
750,attack,off_target,3,S5,5,23,7,1,0,0,0,0,1,0,0,0,0,0
762,attack,clean_target_effective,2,S5,5,22,3,1,1,0,1,0,0,0,0,0,1,2
764,attack,invalid_reset,5,S5,5,22,7,0,0,0,0,0,0,0,1,0,0,0
765,attack,clean_target_ineffective,1,S5,5,22,0,1,1,1,0,0,0,0,0,1,0,1
771,attack,clean_target_effective,2,S0,0,23,3,1,1,0,1,0,0,0,0,0,1,2
774,attack,missed,0,S0,0,22,7,1,0,0,0,1,0,0,0,0,0,0
776,attack,missed,0,S5,5,23,6,1,0,0,0,1,0,0,0,0,0,0
778,attack,multi_hit,4,S0,0,23,6,1,0,0,0,0,0,1,0,0,0,0
779,attack,missed,0,S5,5,22,7,1,0,0,0,1,0,0,0,0,0,0
783,attack,missed,0,S5,5,22,5,1,0,0,0,1,0,0,0,0,0,0
784,attack,clean_target_effective,2,S5,5,23,6,1,1,0,1,0,0,0,0,0,1,2
790,attack,missed,0,S0,0,22,3,1,0,0,0,1,0,0,0,0,0,0
795,attack,multi_hit,4,S0,0,22,2,1,0,0,0,0,0,1,0,0,0,0
799,attack,off_target,3,S0,0,22,0,1,0,0,0,0,1,0,0,0,0,0
800,attack,missed,0,S0,0,23,3,1,0,0,0,1,0,0,0,0,0,0
804,attack,multi_hit,4,S5,5,22,4,1,0,0,0,0,0,1,0,0,0,0
816,attack,multi_hit,4,S0,0,23,3,1,0,0,0,0,0,1,0,0,0,0
829,attack,off_target,3,S0,0,22,4,1,0,0,0,0,1,0,0,0,0,0
831,attack,off_target,3,S0,0,22,5,1,0,0,0,0,1,0,0,0,0,0
839,attack,clean_target_effective,2,S0,0,22,3,1,1,0,1,0,0,0,0,0,1,2
841,attack,missed,0,S5,5,22,7,1,0,0,0,1,0,0,0,0,0,0
842,attack,clean_target_effective,2,S0,0,22,3,1,1,0,1,0,0,0,0,0,1,2
846,attack,off_target,3,S5,5,23,7,1,0,0,0,0,1,0,0,0,0,0
850,attack,off_target,3,S5,5,23,7,1,0,0,0,0,1,0,0,0,0,0
858,attack,clean_target_effective,2,S5,5,23,5,1,1,0,1,0,0,0,0,0,1,2
859,attack,missed,0,S0,0,23,1,1,0,0,0,1,0,0,0,0,0,0
860,attack,off_target,3,S5,5,23,1,1,0,0,0,0,1,0,0,0,0,0
861,attack,invalid_reset,5,S5,5,22,5,0,0,0,0,0,0,0,1,0,0,0
865,attack,clean_target_effective,2,S5,5,22,7,1,1,0,1,0,0,0,0,0,1,2
873,attack,off_target,3,S0,0,22,3,1,0,0,0,0,1,0,0,0,0,0
876,attack,clean_target_effective,2,S5,5,22,5,1,1,0,1,0,0,0,0,0,1,2
889,attack,multi_hit,4,S5,5,23,4,1,0,0,0,0,0,1,0,0,0,0
895,attack,clean_target_effective,2,S5,5,22,2,1,1,0,1,0,0,0,0,0,1,2
901,attack,missed,0,S5,5,22,0,1,0,0,0,1,0,0,0,0,0,0
907,attack,clean_target_ineffective,1,S5,5,23,5,1,1,1,0,0,0,0,0,1,0,1
909,attack,missed,0,S5,5,22,3,1,0,0,0,1,0,0,0,0,0,0
910,attack,off_target,3,S0,0,22,2,1,0,0,0,0,1,0,0,0,0,0
911,attack,clean_target_effective,2,S0,0,23,0,1,1,0,1,0,0,0,0,0,1,2
917,attack,clean_target_effective,2,S0,0,22,4,1,1,0,1,0,0,0,0,0,1,2
919,attack,missed,0,S0,0,23,5,1,0,0,0,1,0,0,0,0,0,0
925,attack,multi_hit,4,S5,5,22,5,1,0,0,0,0,0,1,0,0,0,0
927,attack,clean_target_effective,2,S0,0,23,4,1,1,0,1,0,0,0,0,0,1,2
928,attack,multi_hit,4,S5,5,22,4,1,0,0,0,0,0,1,0,0,0,0
940,attack,multi_hit,4,S5,5,23,7,1,0,0,0,0,0,1,0,0,0,0
944,attack,clean_target_effective,2,S0,0,22,5,1,1,0,1,0,0,0,0,0,1,2
950,attack,clean_target_effective,2,S0,0,22,0,1,1,0,1,0,0,0,0,0,1,2
952,attack,off_target,3,S5,5,23,4,1,0,0,0,0,1,0,0,0,0,0
953,attack,clean_target_ineffective,1,S5,5,22,0,1,1,1,0,0,0,0,0,1,0,1
955,attack,off_target,3,S5,5,23,1,1,0,0,0,0,1,0,0,0,0,0
956,attack,clean_target_effective,2,S0,0,22,1,1,1,0,1,0,0,0,0,0,1,2
959,attack,multi_hit,4,S0,0,22,3,1,0,0,0,0,0,1,0,0,0,0
962,attack,clean_target_effective,2,S0,0,22,6,1,1,0,1,0,0,0,0,0,1,2
967,attack,multi_hit,4,S0,0,22,0,1,0,0,0,0,0,1,0,0,0,0
979,attack,clean_target_ineffective,1,S0,0,23,5,1,1,1,0,0,0,0,0,1,0,1
983,attack,clean_target_effective,2,S0,0,22,7,1,1,0,1,0,0,0,0,0,1,2
987,attack,off_target,3,S0,0,22,3,1,0,0,0,0,1,0,0,0,0,0
990,attack,invalid_reset,5,S0,0,22,5,0,0,0,0,0,0,0,1,0,0,0
995,attack,clean_target_effective,2,S5,5,23,3,1,1,0,1,0,0,0,0,0,1,2
996,attack,missed,0,S0,0,23,0,1,0,0,0,1,0,0,0,0,0,0
998,attack,clean_target_effective,2,S0,0,22,3,1,1,0,1,0,0,0,0,0,1,2
1000,attack,off_target,3,S0,0,22,2,1,0,0,0,0,1,0,0,0,0,0
1003,attack,missed,0,S5,5,22,6,1,0,0,0,1,0,0,0,0,0,0
1004,attack,missed,0,S0,0,22,7,1,0,0,0,1,0,0,0,0,0,0
1010,attack,multi_hit,4,S0,0,22,6,1,0,0,0,0,0,1,0,0,0,0
1013,attack,multi_hit,4,S0,0,23,6,1,0,0,0,0,0,1,0,0,0,0
1019,attack,clean_target_effective,2,S0,0,22,4,1,1,0,1,0,0,0,0,0,1,2
1020,attack,clean_target_ineffective,1,S5,5,22,6,1,1,1,0,0,0,0,0,1,0,1
1023,attack,clean_target_ineffective,1,S5,5,23,0,1,1,1,0,0,0,0,0,1,0,1
1026,attack,invalid_reset,5,S0,0,23,7,0,0,0,0,0,0,0,1,0,0,0
1027,attack,invalid_reset,5,S0,0,23,3,0,0,0,0,0,0,0,1,0,0,0
1029,attack,clean_target_ineffective,1,S5,5,22,2,1,1,1,0,0,0,0,0,1,0,1
1031,attack,missed,0,S5,5,22,5,1,0,0,0,1,0,0,0,0,0,0
1035,attack,clean_target_ineffective,1,S0,0,22,6,1,1,1,0,0,0,0,0,1,0,1
1037,attack,clean_target_ineffective,1,S5,5,23,0,1,1,1,0,0,0,0,0,1,0,1
1038,attack,clean_target_ineffective,1,S0,0,22,3,1,1,1,0,0,0,0,0,1,0,1
1039,attack,multi_hit,4,S5,5,23,0,1,0,0,0,0,0,1,0,0,0,0
1040,attack,clean_target_effective,2,S0,0,23,5,1,1,0,1,0,0,0,0,0,1,2
1041,attack,clean_target_ineffective,1,S0,0,23,3,1,1,1,0,0,0,0,0,1,0,1
1042,attack,multi_hit,4,S5,5,22,4,1,0,0,0,0,0,1,0,0,0,0
1045,attack,missed,0,S0,0,22,3,1,0,0,0,1,0,0,0,0,0,0
1051,attack,clean_target_ineffective,1,S5,5,22,7,1,1,1,0,0,0,0,0,1,0,1
1053,attack,clean_target_ineffective,1,S5,5,23,5,1,1,1,0,0,0,0,0,1,0,1
1063,attack,clean_target_ineffective,1,S0,0,22,7,1,1,1,0,0,0,0,0,1,0,1
1065,attack,missed,0,S0,0,23,5,1,0,0,0,1,0,0,0,0,0,0
1066,attack,off_target,3,S0,0,23,5,1,0,0,0,0,1,0,0,0,0,0
1070,attack,off_target,3,S5,5,22,6,1,0,0,0,0,1,0,0,0,0,0
1072,attack,missed,0,S0,0,23,7,1,0,0,0,1,0,0,0,0,0,0
1073,attack,clean_target_ineffective,1,S5,5,23,3,1,1,1,0,0,0,0,0,1,0,1
1074,attack,clean_target_ineffective,1,S5,5,22,6,1,1,1,0,0,0,0,0,1,0,1
1080,attack,clean_target_effective,2,S5,5,22,4,1,1,0,1,0,0,0,0,0,1,2
1082,attack,clean_target_effective,2,S5,5,23,3,1,1,0,1,0,0,0,0,0,1,2
1084,attack,clean_target_effective,2,S5,5,23,7,1,1,0,1,0,0,0,0,0,1,2
1095,attack,multi_hit,4,S5,5,22,4,1,0,0,0,0,0,1,0,0,0,0
1096,attack,clean_target_ineffective,1,S0,0,23,4,1,1,1,0,0,0,0,0,1,0,1
1098,attack,missed,0,S0,0,22,0,1,0,0,0,1,0,0,0,0,0,0
1099,attack,clean_target_ineffective,1,S5,5,23,5,1,1,1,0,0,0,0,0,1,0,1
1100,attack,clean_target_ineffective,1,S0,0,22,5,1,1,1,0,0,0,0,0,1,0,1
1102,attack,clean_target_effective,2,S0,0,22,5,1,1,0,1,0,0,0,0,0,1,2
1105,attack,missed,0,S5,5,23,0,1,0,0,0,1,0,0,0,0,0,0
1108,attack,off_target,3,S0,0,23,0,1,0,0,0,0,1,0,0,0,0,0
1109,attack,clean_target_ineffective,1,S5,5,23,1,1,1,1,0,0,0,0,0,1,0,1
1111,attack,multi_hit,4,S0,0,23,6,1,0,0,0,0,0,1,0,0,0,0
1112,attack,missed,0,S5,5,23,5,1,0,0,0,1,0,0,0,0,0,0
1113,attack,missed,0,S0,0,23,3,1,0,0,0,1,0,0,0,0,0,0
1117,attack,multi_hit,4,S5,5,23,7,1,0,0,0,0,0,1,0,0,0,0
1120,attack,missed,0,S5,5,23,6,1,0,0,0,1,0,0,0,0,0,0
1131,attack,clean_target_effective,2,S5,5,23,0,1,1,0,1,0,0,0,0,0,1,2
1137,attack,missed,0,S5,5,23,1,1,0,0,0,1,0,0,0,0,0,0
1142,attack,off_target,3,S5,5,22,1,1,0,0,0,0,1,0,0,0,0,0
1144,attack,clean_target_effective,2,S5,5,22,0,1,1,0,1,0,0,0,0,0,1,2
1149,attack,clean_target_ineffective,1,S5,5,22,1,1,1,1,0,0,0,0,0,1,0,1
1158,attack,multi_hit,4,S5,5,23,3,1,0,0,0,0,0,1,0,0,0,0
1162,attack,clean_target_effective,2,S5,5,22,4,1,1,0,1,0,0,0,0,0,1,2
1167,attack,clean_target_ineffective,1,S5,5,22,7,1,1,1,0,0,0,0,0,1,0,1
1178,attack,missed,0,S0,0,23,7,1,0,0,0,1,0,0,0,0,0,0
1180,attack,clean_target_effective,2,S0,0,23,0,1,1,0,1,0,0,0,0,0,1,2
1181,attack,multi_hit,4,S0,0,22,4,1,0,0,0,0,0,1,0,0,0,0
1183,attack,clean_target_effective,2,S0,0,23,5,1,1,0,1,0,0,0,0,0,1,2
1193,attack,missed,0,S5,5,22,6,1,0,0,0,1,0,0,0,0,0,0
1194,attack,off_target,3,S5,5,23,2,1,0,0,0,0,1,0,0,0,0,0
1197,attack,clean_target_effective,2,S0,0,22,2,1,1,0,1,0,0,0,0,0,1,2
1212,attack,clean_target_ineffective,1,S0,0,22,6,1,1,1,0,0,0,0,0,1,0,1
1214,attack,missed,0,S5,5,23,2,1,0,0,0,1,0,0,0,0,0,0
1216,attack,clean_target_effective,2,S0,0,22,7,1,1,0,1,0,0,0,0,0,1,2
1217,attack,missed,0,S5,5,23,3,1,0,0,0,1,0,0,0,0,0,0
1223,attack,clean_target_effective,2,S5,5,23,4,1,1,0,1,0,0,0,0,0,1,2
